Tecnologia,Execução,Distância (m),Dispositivos,Pacotes Enviados,Pacotes Recebidos,Pacotes Duplicados,PDR (%),PLR (%),Retransmissão (%),Vazão (bps),Utilização do Canal (%),Atraso Médio (s),Banda Utilizada (kHz),Consumo Energia (J)
NBIOT,9,3000,10,100,100,0,100,0,15,10000,20,1,125,20
LORAWAN,10,3000,100,1000,960,0,96,4,13,96000,21,1,127,16
SIGFOX,7,15000,5000,50000,44000,0,88,12,8,4400000,71,8,228,61
NBIOT,8,10000,500,5000,5000,0,100,0,9,500000,26,1,137,32
SIGFOX,6,50000,30000,300000,183000,0,61,39,10,18300000,100,37,735,315
SIGFOX,5,30000,50000,500000,250000,0,50,50,11,25000000,100,55,1000,513
SIGFOX,5,50000,30000,300000,183000,0,61,39,13,18300000,100,37,735,315
NBIOT,9,50000,30000,300000,249000,0,83,17,12,24900000,100,13,735,630
SIGFOX,1,15000,100,1000,930,0,93,7,18,93000,22,3,130,12
SIGFOX,2,3000,5000,50000,45000,0,90,10,9,4500000,70,7,225,60
SIGFOX,6,10000,10,100,95,0,95,5,14,9500,21,3,127,11
SIGFOX,7,15000,1000,10000,9200,0,92,8,7,920000,31,4,148,21
LORAWAN,8,10000,5000,50000,45000,0,90,10,8,4500000,71,4,227,78
LORAWAN,5,15000,10,100,95,0,95,5,18,9500,21,2,128,16
LORAWAN,9,30000,10000,100000,83000,0,83,17,11,8300000,100,9,331,143
LORAWAN,10,15000,1000,10000,9400,0,94,6,13,940000,31,2,148,28
LORAWAN,7,10000,30000,300000,177000,0,59,41,7,17700000,100,21,727,391
SIGFOX,5,15000,10,100,93,0,93,7,6,9300,21,3,128,11
LORAWAN,4,50000,500,5000,4700,0,94,6,13,470000,30,4,145,27
LORAWAN,2,15000,100,1000,950,0,95,5,19,95000,22,2,130,17
NBIOT,3,10000,50000,500000,375000,0,75,25,6,37500000,100,17,1000,1022
LORAWAN,10,10000,10,100,96,0,96,4,16,9600,21,1,127,16
LORAWAN,8,50000,100,1000,940,0,94,6,6,94000,26,4,137,22
LORAWAN,2,30000,500,5000,4750,0,95,5,5,475000,28,3,141,24
SIGFOX,3,15000,10,100,93,0,93,7,19,9300,21,3,128,11
NBIOT,2,10000,100,1000,1000,0,100,0,10,100000,22,1,129,24
SIGFOX,6,5000,30000,300000,195000,0,65,35,17,19500000,100,32,726,310
NBIOT,6,5000,1000,10000,10000,0,100,0,19,1000000,30,1,146,41
NBIOT,4,3000,10,100,100,0,100,0,7,10000,20,1,125,20
SIGFOX,7,5000,100,1000,950,0,95,5,15,95000,21,2,128,11
LORAWAN,9,10000,5000,50000,45000,0,90,10,18,4500000,71,4,227,78
SIGFOX,2,10000,10000,100000,85000,0,85,15,5,8500000,100,13,327,111
LORAWAN,8,3000,100,1000,960,0,96,4,7,96000,21,1,127,16
NBIOT,4,5000,100,1000,1000,0,100,0,10,100000,21,1,128,23
SIGFOX,3,10000,500,5000,4750,0,95,5,16,475000,26,3,137,16
NBIOT,7,3000,10,100,100,0,100,0,5,10000,20,1,125,20
NBIOT,9,50000,10000,100000,93000,0,93,7,8,9300000,100,6,335,230
LORAWAN,1,30000,100,1000,950,0,95,5,15,95000,24,3,133,19
SIGFOX,3,5000,50000,500000,250000,0,50,50,19,25000000,100,52,1000,510
SIGFOX,3,5000,100,1000,950,0,95,5,7,95000,21,2,128,11
SIGFOX,8,15000,1000,10000,9200,0,92,8,8,920000,31,4,148,21
NBIOT,1,5000,100,1000,1000,0,100,0,18,100000,21,1,128,23
LORAWAN,1,10000,500,5000,4800,0,96,4,18,480000,26,1,137,22
LORAWAN,1,3000,30000,300000,177000,0,59,41,11,17700000,100,21,725,390
NBIOT,6,50000,5000,50000,48000,0,96,4,11,4800000,75,4,235,130
SIGFOX,3,30000,100,1000,930,0,93,7,10,93000,24,5,133,14
SIGFOX,2,5000,50000,500000,250000,0,50,50,5,25000000,100,52,1000,510
SIGFOX,1,10000,5000,50000,45000,0,90,10,6,4500000,71,8,227,61
LORAWAN,4,5000,500,5000,4800,0,96,4,7,480000,25,1,136,21
SIGFOX,10,3000,30000,300000,195000,0,65,35,17,19500000,100,32,725,310
NBIOT,4,50000,500,5000,4900,0,98,2,17,490000,30,3,145,40
SIGFOX,3,50000,1000,10000,9000,0,90,10,11,900000,35,8,155,25
NBIOT,6,3000,50000,500000,375000,0,75,25,19,37500000,100,17,1000,1020
SIGFOX,4,5000,500,5000,4750,0,95,5,11,475000,25,2,136,15
NBIOT,1,5000,50000,500000,375000,0,75,25,14,37500000,100,17,1000,1021
SIGFOX,9,50000,1000,10000,9000,0,90,10,6,900000,35,8,155,25
NBIOT,6,3000,1000,10000,10000,0,100,0,15,1000000,30,1,145,40
SIGFOX,4,30000,50000,500000,250000,0,50,50,12,25000000,100,55,1000,513
NBIOT,2,3000,10000,100000,95000,0,95,5,5,9500000,100,4,325,220
NBIOT,2,30000,30000,300000,252000,0,84,16,17,25200000,100,12,731,626
LORAWAN,2,10000,10,100,96,0,96,4,9,9600,21,1,127,16
SIGFOX,7,10000,10000,100000,85000,0,85,15,9,8500000,100,13,327,111
NBIOT,9,30000,100,1000,990,0,99,1,10,99000,24,2,133,28
SIGFOX,4,3000,10,100,95,0,95,5,18,9500,20,2,125,10
SIGFOX,10,3000,5000,50000,45000,0,90,10,13,4500000,70,7,225,60
NBIOT,4,5000,10,100,100,0,100,0,12,10000,20,1,126,21
LORAWAN,8,30000,10000,100000,83000,0,83,17,18,8300000,100,9,331,143
LORAWAN,6,50000,30000,300000,171000,0,57,43,14,17100000,100,24,735,396
NBIOT,1,50000,100,1000,980,0,98,2,16,98000,26,3,137,32
LORAWAN,7,50000,10000,100000,82000,0,82,18,10,8200000,100,10,335,146
SIGFOX,10,50000,100,1000,910,0,91,9,13,91000,26,7,137,16
NBIOT,10,15000,500,5000,4950,0,99,1,11,495000,26,1,138,33
NBIOT,8,15000,1000,10000,9900,0,99,1,19,990000,31,1,148,43
NBIOT,10,10000,1000,10000,10000,0,100,0,18,1000000,31,1,147,42
SIGFOX,2,15000,1000,10000,9200,0,92,8,18,920000,31,4,148,21
NBIOT,8,30000,100,1000,990,0,99,1,14,99000,24,2,133,28
SIGFOX,2,5000,100,1000,950,0,95,5,14,95000,21,2,128,11
NBIOT,3,30000,5000,50000,48500,0,97,3,16,4850000,73,3,231,126
NBIOT,2,10000,1000,10000,10000,0,100,0,11,1000000,31,1,147,42
NBIOT,9,5000,50000,500000,375000,0,75,25,14,37500000,100,17,1000,1021
NBIOT,7,15000,100,1000,990,0,99,1,13,99000,22,1,130,25
LORAWAN,3,5000,30000,300000,177000,0,59,41,7,17700000,100,21,726,390
NBIOT,7,50000,100,1000,980,0,98,2,10,98000,26,3,137,32
NBIOT,6,15000,30000,300000,252000,0,84,16,8,25200000,100,11,728,623
SIGFOX,5,5000,1000,10000,9400,0,94,6,11,940000,30,3,146,20
NBIOT,8,3000,30000,300000,255000,0,85,15,7,25500000,100,11,725,620
NBIOT,1,5000,10000,100000,95000,0,95,5,5,9500000,100,4,326,221
NBIOT,3,5000,50000,500000,375000,0,75,25,18,37500000,100,17,1000,1021
LORAWAN,1,50000,500,5000,4700,0,94,6,11,470000,30,4,145,27
LORAWAN,3,3000,10000,100000,84000,0,84,16,10,8400000,100,7,325,140
NBIOT,3,5000,30000,300000,255000,0,85,15,14,25500000,100,11,726,621
LORAWAN,10,50000,10000,100000,82000,0,82,18,5,8200000,100,10,335,146
SIGFOX,2,10000,1000,10000,9400,0,94,6,6,940000,31,4,147,21
SIGFOX,4,30000,5000,50000,44000,0,88,12,11,4400000,73,10,231,63
NBIOT,6,10000,1000,10000,10000,0,100,0,10,1000000,31,1,147,42
NBIOT,5,30000,500,5000,4950,0,99,1,10,495000,28,2,141,36
LORAWAN,10,3000,1000,10000,9500,0,95,5,19,950000,30,1,145,27
SIGFOX,5,50000,500,5000,4550,0,91,9,12,455000,30,7,145,20
NBIOT,8,10000,50000,500000,375000,0,75,25,5,37500000,100,17,1000,1022
LORAWAN,5,15000,500,5000,4750,0,95,5,19,475000,26,2,138,22
SIGFOX,7,5000,10000,100000,85000,0,85,15,11,8500000,100,12,326,110
LORAWAN,8,3000,5000,50000,45000,0,90,10,11,4500000,70,4,225,77
NBIOT,8,30000,5000,50000,48500,0,97,3,12,4850000,73,3,231,126
NBIOT,2,30000,10000,100000,94000,0,94,6,5,9400000,100,5,331,226
NBIOT,3,3000,10000,100000,95000,0,95,5,7,9500000,100,4,325,220
NBIOT,8,3000,10000,100000,95000,0,95,5,13,9500000,100,4,325,220
LORAWAN,3,50000,100,1000,940,0,94,6,7,94000,26,4,137,22
NBIOT,9,10000,500,5000,5000,0,100,0,17,500000,26,1,137,32
NBIOT,1,5000,30000,300000,255000,0,85,15,9,25500000,100,11,726,621
NBIOT,9,10000,1000,10000,10000,0,100,0,12,1000000,31,1,147,42
LORAWAN,8,30000,1000,10000,9400,0,94,6,11,940000,33,3,151,30
SIGFOX,8,3000,5000,50000,45000,0,90,10,16,4500000,70,7,225,60
NBIOT,4,30000,50000,500000,370000,0,74,26,10,37000000,100,18,1000,1026
SIGFOX,6,3000,1000,10000,9400,0,94,6,12,940000,30,3,145,20
LORAWAN,2,5000,10,100,96,0,96,4,10,9600,20,1,126,15
LORAWAN,7,15000,500,5000,4750,0,95,5,6,475000,26,2,138,22
NBIOT,9,10000,50000,500000,375000,0,75,25,11,37500000,100,17,1000,1022
SIGFOX,8,15000,10000,100000,83000,0,83,17,12,8300000,100,13,328,111
NBIOT,2,3000,5000,50000,49000,0,98,2,7,4900000,70,2,225,120
SIGFOX,2,5000,1000,10000,9400,0,94,6,5,940000,30,3,146,20
NBIOT,1,10000,1000,10000,10000,0,100,0,19,1000000,31,1,147,42
SIGFOX,4,10000,10,100,95,0,95,5,8,9500,21,3,127,11
LORAWAN,4,3000,10,100,96,0,96,4,14,9600,20,1,125,15
LORAWAN,4,50000,5000,50000,44000,0,88,12,13,4400000,75,7,235,83
SIGFOX,7,15000,30000,300000,189000,0,63,37,16,18900000,100,33,728,311
