Tecnologia,Execução,Distância (m),Dispositivos,Pacotes Enviados,Pacotes Recebidos,Pacotes Duplicados,PDR (%),PLR (%),Retransmissão (%),Vazão (bps),Utilização do Canal (%),Atraso Médio (s),Banda Utilizada (kHz),Consumo Energia (J)
LORAWAN,10,3000,100,1000,960,0,96,4,13,96000,21,1,127,16
LORAWAN,8,10000,5000,50000,45000,0,90,10,8,4500000,71,4,227,78
LORAWAN,5,15000,10,100,95,0,95,5,18,9500,21,2,128,16
LORAWAN,9,30000,10000,100000,83000,0,83,17,11,8300000,100,9,331,143
LORAWAN,10,15000,1000,10000,9400,0,94,6,13,940000,31,2,148,28
LORAWAN,7,10000,30000,300000,177000,0,59,41,7,17700000,100,21,727,391
LORAWAN,4,50000,500,5000,4700,0,94,6,13,470000,30,4,145,27
LORAWAN,2,15000,100,1000,950,0,95,5,19,95000,22,2,130,17
LORAWAN,10,10000,10,100,96,0,96,4,16,9600,21,1,127,16
LORAWAN,8,50000,100,1000,940,0,94,6,6,94000,26,4,137,22
LORAWAN,2,30000,500,5000,4750,0,95,5,5,475000,28,3,141,24
LORAWAN,9,10000,5000,50000,45000,0,90,10,18,4500000,71,4,227,78
LORAWAN,8,3000,100,1000,960,0,96,4,7,96000,21,1,127,16
LORAWAN,1,30000,100,1000,950,0,95,5,15,95000,24,3,133,19
LORAWAN,1,10000,500,5000,4800,0,96,4,18,480000,26,1,137,22
LORAWAN,1,3000,30000,300000,177000,0,59,41,11,17700000,100,21,725,390
LORAWAN,4,5000,500,5000,4800,0,96,4,7,480000,25,1,136,21
LORAWAN,2,10000,10,100,96,0,96,4,9,9600,21,1,127,16
LORAWAN,8,30000,10000,100000,83000,0,83,17,18,8300000,100,9,331,143
LORAWAN,6,50000,30000,300000,171000,0,57,43,14,17100000,100,24,735,396
LORAWAN,7,50000,10000,100000,82000,0,82,18,10,8200000,100,10,335,146
LORAWAN,3,5000,30000,300000,177000,0,59,41,7,17700000,100,21,726,390
LORAWAN,1,50000,500,5000,4700,0,94,6,11,470000,30,4,145,27
LORAWAN,3,3000,10000,100000,84000,0,84,16,10,8400000,100,7,325,140
LORAWAN,10,50000,10000,100000,82000,0,82,18,5,8200000,100,10,335,146
LORAWAN,10,3000,1000,10000,9500,0,95,5,19,950000,30,1,145,27
LORAWAN,5,15000,500,5000,4750,0,95,5,19,475000,26,2,138,22
LORAWAN,8,3000,5000,50000,45000,0,90,10,11,4500000,70,4,225,77
LORAWAN,3,50000,100,1000,940,0,94,6,7,94000,26,4,137,22
LORAWAN,8,30000,1000,10000,9400,0,94,6,11,940000,33,3,151,30
LORAWAN,2,5000,10,100,96,0,96,4,10,9600,20,1,126,15
LORAWAN,7,15000,500,5000,4750,0,95,5,6,475000,26,2,138,22
LORAWAN,4,3000,10,100,96,0,96,4,14,9600,20,1,125,15
LORAWAN,4,50000,5000,50000,44000,0,88,12,13,4400000,75,7,235,83
LORAWAN,5,30000,10000,100000,83000,0,83,17,12,8300000,100,9,331,143
LORAWAN,7,30000,5000,50000,44500,0,89,11,7,4450000,73,6,231,80
LORAWAN,6,5000,50000,500000,250000,0,50,50,8,25000000,100,34,1000,640
