Tecnologia,Execução,Distância (m),Dispositivos,Pacotes Enviados,Pacotes Recebidos,Pacotes Duplicados,PDR (%),PLR (%),Retransmissão (%),Vazão (bps),Utilização do Canal (%),Atraso Médio (s),Banda Utilizada (kHz),Consumo Energia (J)
SIGFOX,7,15000,5000,50000,44000,0,88,12,8,4400000,71,8,228,61
SIGFOX,6,50000,30000,300000,183000,0,61,39,10,18300000,100,37,735,315
SIGFOX,5,30000,50000,500000,250000,0,50,50,11,25000000,100,55,1000,513
SIGFOX,5,50000,30000,300000,183000,0,61,39,13,18300000,100,37,735,315
SIGFOX,1,15000,100,1000,930,0,93,7,18,93000,22,3,130,12
SIGFOX,2,3000,5000,50000,45000,0,90,10,9,4500000,70,7,225,60
SIGFOX,6,10000,10,100,95,0,95,5,14,9500,21,3,127,11
SIGFOX,7,15000,1000,10000,9200,0,92,8,7,920000,31,4,148,21
SIGFOX,5,15000,10,100,93,0,93,7,6,9300,21,3,128,11
SIGFOX,3,15000,10,100,93,0,93,7,19,9300,21,3,128,11
SIGFOX,6,5000,30000,300000,195000,0,65,35,17,19500000,100,32,726,310
SIGFOX,7,5000,100,1000,950,0,95,5,15,95000,21,2,128,11
SIGFOX,2,10000,10000,100000,85000,0,85,15,5,8500000,100,13,327,111
SIGFOX,3,10000,500,5000,4750,0,95,5,16,475000,26,3,137,16
SIGFOX,3,5000,50000,500000,250000,0,50,50,19,25000000,100,52,1000,510
SIGFOX,3,5000,100,1000,950,0,95,5,7,95000,21,2,128,11
SIGFOX,8,15000,1000,10000,9200,0,92,8,8,920000,31,4,148,21
SIGFOX,3,30000,100,1000,930,0,93,7,10,93000,24,5,133,14
SIGFOX,2,5000,50000,500000,250000,0,50,50,5,25000000,100,52,1000,510
SIGFOX,1,10000,5000,50000,45000,0,90,10,6,4500000,71,8,227,61
SIGFOX,10,3000,30000,300000,195000,0,65,35,17,19500000,100,32,725,310
SIGFOX,3,50000,1000,10000,9000,0,90,10,11,900000,35,8,155,25
SIGFOX,4,5000,500,5000,4750,0,95,5,11,475000,25,2,136,15
SIGFOX,9,50000,1000,10000,9000,0,90,10,6,900000,35,8,155,25
SIGFOX,4,30000,50000,500000,250000,0,50,50,12,25000000,100,55,1000,513
SIGFOX,7,10000,10000,100000,85000,0,85,15,9,8500000,100,13,327,111
SIGFOX,4,3000,10,100,95,0,95,5,18,9500,20,2,125,10
SIGFOX,10,3000,5000,50000,45000,0,90,10,13,4500000,70,7,225,60
SIGFOX,10,50000,100,1000,910,0,91,9,13,91000,26,7,137,16
SIGFOX,2,15000,1000,10000,9200,0,92,8,18,920000,31,4,148,21
SIGFOX,2,5000,100,1000,950,0,95,5,14,95000,21,2,128,11
SIGFOX,5,5000,1000,10000,9400,0,94,6,11,940000,30,3,146,20
SIGFOX,2,10000,1000,10000,9400,0,94,6,6,940000,31,4,147,21
SIGFOX,4,30000,5000,50000,44000,0,88,12,11,4400000,73,10,231,63
SIGFOX,5,50000,500,5000,4550,0,91,9,12,455000,30,7,145,20
SIGFOX,7,5000,10000,100000,85000,0,85,15,11,8500000,100,12,326,110
SIGFOX,8,3000,5000,50000,45000,0,90,10,16,4500000,70,7,225,60
SIGFOX,6,3000,1000,10000,9400,0,94,6,12,940000,30,3,145,20
SIGFOX,8,15000,10000,100000,83000,0,83,17,12,8300000,100,13,328,111
SIGFOX,2,5000,1000,10000,9400,0,94,6,5,940000,30,3,146,20
SIGFOX,4,10000,10,100,95,0,95,5,8,9500,21,3,127,11
SIGFOX,7,15000,30000,300000,189000,0,63,37,16,18900000,100,33,728,311
SIGFOX,8,3000,10000,100000,85000,0,85,15,13,8500000,100,12,325,110
SIGFOX,1,5000,10,100,95,0,95,5,13,9500,20,2,126,10
SIGFOX,2,10000,30000,300000,195000,0,65,35,17,19500000,100,33,727,311
SIGFOX,7,5000,10,100,95,0,95,5,9,9500,20,2,126,10
SIGFOX,4,5000,10,100,95,0,95,5,6,9500,20,2,126,10
SIGFOX,6,3000,5000,50000,45000,0,90,10,5,4500000,70,7,225,60
SIGFOX,7,15000,500,5000,4650,0,93,7,16,465000,26,3,138,16
SIGFOX,5,30000,30000,300000,189000,0,63,37,10,18900000,100,35,731,313
SIGFOX,1,50000,50000,500000,250000,0,50,50,19,25000000,100,57,1000,515
SIGFOX,4,10000,5000,50000,45000,0,90,10,15,4500000,71,8,227,61
SIGFOX,9,15000,30000,300000,189000,0,63,37,16,18900000,100,33,728,311
SIGFOX,6,10000,30000,300000,195000,0,65,35,16,19500000,100,33,727,311
SIGFOX,3,5000,10,100,95,0,95,5,18,9500,20,2,126,10
SIGFOX,6,10000,50000,500000,250000,0,50,50,19,25000000,100,53,1000,511
SIGFOX,1,3000,500,5000,4750,0,95,5,5,475000,25,2,135,15
SIGFOX,5,15000,1000,10000,9200,0,92,8,9,920000,31,4,148,21
SIGFOX,10,10000,10,100,95,0,95,5,16,9500,21,3,127,11
SIGFOX,6,5000,5000,50000,45000,0,90,10,6,4500000,70,7,226,60
SIGFOX,9,10000,5000,50000,45000,0,90,10,15,4500000,71,8,227,61
SIGFOX,4,50000,30000,300000,183000,0,61,39,16,18300000,100,37,735,315
SIGFOX,8,15000,30000,300000,189000,0,63,37,6,18900000,100,33,728,311
SIGFOX,2,15000,100,1000,930,0,93,7,16,93000,22,3,130,12
SIGFOX,4,5000,50000,500000,250000,0,50,50,16,25000000,100,52,1000,510
SIGFOX,1,15000,30000,300000,189000,0,63,37,13,18900000,100,33,728,311
SIGFOX,3,50000,30000,300000,183000,0,61,39,6,18300000,100,37,735,315
SIGFOX,8,5000,1000,10000,9400,0,94,6,13,940000,30,3,146,20
SIGFOX,7,50000,1000,10000,9000,0,90,10,19,900000,35,8,155,25
SIGFOX,4,3000,30000,300000,195000,0,65,35,6,19500000,100,32,725,310
SIGFOX,2,10000,10,100,95,0,95,5,10,9500,21,3,127,11
SIGFOX,7,3000,50000,500000,250000,0,50,50,10,25000000,100,52,1000,510
SIGFOX,1,15000,500,5000,4650,0,93,7,5,465000,26,3,138,16
SIGFOX,8,30000,30000,300000,189000,0,63,37,10,18900000,100,35,731,313
SIGFOX,10,30000,30000,300000,189000,0,63,37,17,18900000,100,35,731,313
SIGFOX,5,3000,30000,300000,195000,0,65,35,9,19500000,100,32,725,310
SIGFOX,4,15000,500,5000,4650,0,93,7,12,465000,26,3,138,16
SIGFOX,3,50000,5000,50000,43000,0,86,14,6,4300000,75,12,235,65
SIGFOX,10,5000,100,1000,950,0,95,5,16,95000,21,2,128,11
SIGFOX,3,15000,100,1000,930,0,93,7,14,93000,22,3,130,12
SIGFOX,6,10000,500,5000,4750,0,95,5,10,475000,26,3,137,16
SIGFOX,9,15000,500,5000,4650,0,93,7,8,465000,26,3,138,16
SIGFOX,10,3000,10000,100000,85000,0,85,15,18,8500000,100,12,325,110
SIGFOX,5,3000,100,1000,950,0,95,5,17,95000,21,2,127,11
SIGFOX,8,10000,30000,300000,195000,0,65,35,16,19500000,100,33,727,311
SIGFOX,5,15000,5000,50000,44000,0,88,12,19,4400000,71,8,228,61
SIGFOX,6,50000,10,100,91,0,91,9,18,9100,25,7,135,15
SIGFOX,9,15000,1000,10000,9200,0,92,8,16,920000,31,4,148,21
SIGFOX,7,10000,5000,50000,45000,0,90,10,8,4500000,71,8,227,61
SIGFOX,1,10000,10000,100000,85000,0,85,15,10,8500000,100,13,327,111
SIGFOX,10,10000,100,1000,950,0,95,5,19,95000,22,3,129,12
SIGFOX,7,30000,30000,300000,189000,0,63,37,11,18900000,100,35,731,313
SIGFOX,4,50000,500,5000,4550,0,91,9,6,455000,30,7,145,20
SIGFOX,5,5000,10,100,95,0,95,5,18,9500,20,2,126,10
SIGFOX,2,15000,30000,300000,189000,0,63,37,17,18900000,100,33,728,311
SIGFOX,9,15000,100,1000,930,0,93,7,8,93000,22,3,130,12
SIGFOX,9,3000,5000,50000,45000,0,90,10,14,4500000,70,7,225,60
SIGFOX,2,5000,500,5000,4750,0,95,5,15,475000,25,2,136,15
SIGFOX,8,3000,50000,500000,250000,0,50,50,12,25000000,100,52,1000,510
SIGFOX,9,50000,10000,100000,81000,0,81,19,5,8100000,100,17,335,115
SIGFOX,6,50000,10000,100000,81000,0,81,19,8,8100000,100,17,335,115
SIGFOX,2,15000,50000,500000,250000,0,50,50,7,25000000,100,53,1000,511
SIGFOX,3,50000,100,1000,910,0,91,9,11,91000,26,7,137,16
SIGFOX,6,10000,100,1000,950,0,95,5,15,95000,22,3,129,12
SIGFOX,3,5000,30000,300000,195000,0,65,35,7,19500000,100,32,726,310
SIGFOX,6,50000,5000,50000,43000,0,86,14,7,4300000,75,12,235,65
SIGFOX,10,15000,10,100,93,0,93,7,11,9300,21,3,128,11
SIGFOX,9,5000,5000,50000,45000,0,90,10,13,4500000,70,7,226,60
SIGFOX,6,15000,5000,50000,44000,0,88,12,17,4400000,71,8,228,61
SIGFOX,8,50000,5000,50000,43000,0,86,14,14,4300000,75,12,235,65
SIGFOX,2,5000,10000,100000,85000,0,85,15,18,8500000,100,12,326,110
SIGFOX,4,5000,5000,50000,45000,0,90,10,10,4500000,70,7,226,60
SIGFOX,7,10000,500,5000,4750,0,95,5,6,475000,26,3,137,16
SIGFOX,9,10000,50000,500000,250000,0,50,50,5,25000000,100,53,1000,511
SIGFOX,7,3000,10000,100000,85000,0,85,15,8,8500000,100,12,325,110
SIGFOX,2,3000,10000,100000,85000,0,85,15,8,8500000,100,12,325,110
SIGFOX,6,3000,100,1000,950,0,95,5,7,95000,21,2,127,11
SIGFOX,6,50000,500,5000,4550,0,91,9,18,455000,30,7,145,20
SIGFOX,7,3000,1000,10000,9400,0,94,6,8,940000,30,3,145,20
SIGFOX,1,5000,50000,500000,250000,0,50,50,16,25000000,100,52,1000,510
SIGFOX,10,15000,500,5000,4650,0,93,7,13,465000,26,3,138,16
SIGFOX,9,5000,30000,300000,195000,0,65,35,13,19500000,100,32,726,310
SIGFOX,1,10000,30000,300000,195000,0,65,35,18,19500000,100,33,727,311
SIGFOX,2,3000,30000,300000,195000,0,65,35,8,19500000,100,32,725,310
SIGFOX,5,5000,5000,50000,45000,0,90,10,7,4500000,70,7,226,60
SIGFOX,10,3000,1000,10000,9400,0,94,6,9,940000,30,3,145,20
SIGFOX,3,10000,1000,10000,9400,0,94,6,18,940000,31,4,147,21
SIGFOX,6,3000,30000,300000,195000,0,65,35,14,19500000,100,32,725,310
SIGFOX,5,15000,500,5000,4650,0,93,7,15,465000,26,3,138,16
SIGFOX,4,30000,500,5000,4650,0,93,7,10,465000,28,5,141,18
SIGFOX,3,3000,10,100,95,0,95,5,11,9500,20,2,125,10
SIGFOX,4,50000,10,100,91,0,91,9,14,9100,25,7,135,15
SIGFOX,2,5000,30000,300000,195000,0,65,35,10,19500000,100,32,726,310
SIGFOX,6,5000,500,5000,4750,0,95,5,13,475000,25,2,136,15
SIGFOX,1,30000,1000,10000,9200,0,92,8,5,920000,33,6,151,23
SIGFOX,1,15000,5000,50000,44000,0,88,12,5,4400000,71,8,228,61
SIGFOX,2,3000,100,1000,950,0,95,5,11,95000,21,2,127,11
SIGFOX,4,10000,100,1000,950,0,95,5,10,95000,22,3,129,12
SIGFOX,1,30000,100,1000,930,0,93,7,16,93000,24,5,133,14
SIGFOX,3,15000,50000,500000,250000,0,50,50,18,25000000,100,53,1000,511
SIGFOX,10,50000,500,5000,4550,0,91,9,10,455000,30,7,145,20
SIGFOX,5,10000,50000,500000,250000,0,50,50,8,25000000,100,53,1000,511
SIGFOX,6,15000,500,5000,4650,0,93,7,17,465000,26,3,138,16
SIGFOX,9,10000,10000,100000,85000,0,85,15,13,8500000,100,13,327,111
SIGFOX,1,50000,500,5000,4550,0,91,9,6,455000,30,7,145,20
SIGFOX,5,30000,100,1000,930,0,93,7,14,93000,24,5,133,14
SIGFOX,5,3000,5000,50000,45000,0,90,10,12,4500000,70,7,225,60
SIGFOX,5,15000,50000,500000,250000,0,50,50,15,25000000,100,53,1000,511
SIGFOX,3,15000,5000,50000,44000,0,88,12,8,4400000,71,8,228,61
SIGFOX,3,50000,10,100,91,0,91,9,11,9100,25,7,135,15
SIGFOX,2,30000,10000,100000,83000,0,83,17,15,8300000,100,15,331,113
SIGFOX,3,3000,30000,300000,195000,0,65,35,8,19500000,100,32,725,310
SIGFOX,8,3000,30000,300000,195000,0,65,35,14,19500000,100,32,725,310
SIGFOX,10,3000,100,1000,950,0,95,5,16,95000,21,2,127,11
SIGFOX,8,50000,1000,10000,9000,0,90,10,11,900000,35,8,155,25
SIGFOX,8,10000,1000,10000,9400,0,94,6,6,940000,31,4,147,21
SIGFOX,8,30000,10,100,93,0,93,7,5,9300,23,5,131,13
SIGFOX,8,5000,100,1000,950,0,95,5,10,95000,21,2,128,11
SIGFOX,4,3000,5000,50000,45000,0,90,10,19,4500000,70,7,225,60
SIGFOX,2,10000,50000,500000,250000,0,50,50,9,25000000,100,53,1000,511
SIGFOX,8,10000,50000,500000,250000,0,50,50,7,25000000,100,53,1000,511
SIGFOX,8,5000,30000,300000,195000,0,65,35,8,19500000,100,32,726,310
SIGFOX,7,10000,1000,10000,9400,0,94,6,13,940000,31,4,147,21
SIGFOX,5,50000,1000,10000,9000,0,90,10,10,900000,35,8,155,25
SIGFOX,3,10000,100,1000,950,0,95,5,11,95000,22,3,129,12
SIGFOX,4,15000,1000,10000,9200,0,92,8,5,920000,31,4,148,21
SIGFOX,1,30000,10,100,93,0,93,7,15,9300,23,5,131,13
SIGFOX,3,10000,5000,50000,45000,0,90,10,15,4500000,71,8,227,61
SIGFOX,4,10000,1000,10000,9400,0,94,6,8,940000,31,4,147,21
SIGFOX,8,10000,10,100,95,0,95,5,5,9500,21,3,127,11
SIGFOX,1,10000,500,5000,4750,0,95,5,7,475000,26,3,137,16
SIGFOX,3,30000,10,100,93,0,93,7,17,9300,23,5,131,13
SIGFOX,9,30000,30000,300000,189000,0,63,37,16,18900000,100,35,731,313
SIGFOX,8,15000,100,1000,930,0,93,7,17,93000,22,3,130,12
SIGFOX,2,30000,500,5000,4650,0,93,7,10,465000,28,5,141,18
SIGFOX,10,10000,30000,300000,195000,0,65,35,12,19500000,100,33,727,311
SIGFOX,9,10000,100,1000,950,0,95,5,8,95000,22,3,129,12
SIGFOX,2,30000,100,1000,930,0,93,7,8,93000,24,5,133,14
SIGFOX,9,50000,100,1000,910,0,91,9,10,91000,26,7,137,16
SIGFOX,1,50000,10000,100000,81000,0,81,19,15,8100000,100,17,335,115
SIGFOX,2,10000,500,5000,4750,0,95,5,18,475000,26,3,137,16
SIGFOX,10,5000,50000,500000,250000,0,50,50,7,25000000,100,52,1000,510
SIGFOX,6,3000,50000,500000,250000,0,50,50,11,25000000,100,52,1000,510
SIGFOX,7,50000,10,100,91,0,91,9,14,9100,25,7,135,15
SIGFOX,6,3000,10000,100000,85000,0,85,15,7,8500000,100,12,325,110
SIGFOX,2,50000,10000,100000,81000,0,81,19,19,8100000,100,17,335,115
SIGFOX,8,5000,10000,100000,85000,0,85,15,18,8500000,100,12,326,110
SIGFOX,9,15000,5000,50000,44000,0,88,12,15,4400000,71,8,228,61
SIGFOX,1,10000,1000,10000,9400,0,94,6,17,940000,31,4,147,21
SIGFOX,5,3000,10,100,95,0,95,5,5,9500,20,2,125,10
SIGFOX,8,5000,500,5000,4750,0,95,5,14,475000,25,2,136,15
SIGFOX,4,15000,10000,100000,83000,0,83,17,17,8300000,100,13,328,111
SIGFOX,7,30000,100,1000,930,0,93,7,16,93000,24,5,133,14
SIGFOX,8,30000,5000,50000,44000,0,88,12,17,4400000,73,10,231,63
SIGFOX,4,5000,30000,300000,195000,0,65,35,5,19500000,100,32,726,310
SIGFOX,7,50000,100,1000,910,0,91,9,16,91000,26,7,137,16
SIGFOX,4,3000,100,1000,950,0,95,5,16,95000,21,2,127,11
SIGFOX,1,30000,50000,500000,250000,0,50,50,7,25000000,100,55,1000,513
SIGFOX,10,30000,1000,10000,9200,0,92,8,16,920000,33,6,151,23
SIGFOX,2,5000,5000,50000,45000,0,90,10,12,4500000,70,7,226,60
